N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
25,SK,"196,000","1,700",-0.86%,200,"143,469","73,198",24.20,"275,374",-18.34,5.13,
26,카카오뱅크,"29,100",700,+2.46%,"5,000","138,770","476,872",16.35,"2,467,820",40.81,4.68,
27,한국전력,"20,400",450,-2.16%,"5,000","130,961","641,964",14.32,"1,582,640",-0.95,-46.91,
28,HMM,"18,380",700,-3.67%,"5,000","126,645","689,039",10.55,"3,425,201",4.24,64.98,
29,SK이노베이션,"121,000",0,0.00%,"5,000","121,793","100,656",21.75,"421,569",-48.99,8.49,
30,KT&G,"91,000",800,+0.89%,"5,000","121,778","133,822",42.70,"195,799",17.04,11.00,
31,에코프로머티,"171,900","6,400",+3.87%,500,"118,586","68,985",1.05,"1,321,607",584.69,6.77,
32,삼성에스디에스,"153,000","2,100",-1.35%,500,"118,388","77,378",18.17,"149,991",14.88,14.23,
33,SK텔레콤,"50,800",500,-0.97%,100,"111,167","218,833",41.75,"615,877",9.84,7.97,
34,우리금융지주,"14,610",110,+0.76%,"5,000","109,860","751,949",38.87,"3,163,727",3.67,11.51,
35,기업은행,"13,410",100,+0.75%,"5,000","106,935","797,426",14.68,"2,534,101",3.73,9.85,
36,삼성전기,"138,800",200,-0.14%,"5,000","103,675","74,694",31.18,"251,716",21.91,13.76,
37,크래프톤,"214,000","2,000",+0.94%,100,"103,500","48,364",33.66,"121,796",23.63,10.29,
38,두산에너빌리티,"15,620",380,+2.49%,"5,000","100,056","640,561",15.42,"2,374,089",-23.35,-11.70,
39,HD현대중공업,"112,000","1,600",-1.41%,"5,000","99,426","88,773",7.56,"141,085",-59.13,-6.47,
40,포스코인터내셔널,"55,700","1,200",+2.20%,"5,000","97,989","175,923",6.70,"893,500",13.00,15.79,
41,고려아연,"466,500","5,000",-1.06%,"5,000","97,539","20,909",18.16,"42,174",15.60,9.38,
42,KT,"37,650",500,-1.31%,"5,000","97,085","257,861",44.13,"1,198,485",8.20,7.99,
43,포스코DX,"60,500",200,-0.33%,500,"91,981","152,035",5.75,"1,205,934",110.00,11.84,
44,SK스퀘어,"65,200","1,000",-1.51%,100,"90,616","138,981",47.63,"853,324",-5.67,1.55,
45,HD한국조선해양,"121,100",300,-0.25%,"5,000","85,706","70,773",26.63,"249,112",56.99,-2.22,
46,대한항공,"22,850",200,-0.87%,"5,000","84,138","368,221",16.63,"790,120",6.26,21.95,
47,하이브,"200,000","2,600",+1.32%,500,"83,304","41,652",21.19,"181,151",108.05,1.87,
48,S-Oil,"69,400",400,-0.57%,"2,500","78,132","112,583",76.94,"188,175",7.96,27.20,
49,한미반도체,"78,500","18,100",+29.97%,100,"76,411","97,339",14.62,"12,383,796",42.83,25.04,
50,아모레퍼시픽,"129,400","1,700",+1.33%,500,"75,690","58,493",28.36,"322,956",55.49,2.81,
51,TIGER CD금리투자KIS(합성),"53,810",5,+0.01%,0,"72,299","134,360",0.02,"274,633",N/A,N/A,
52,한화오션,"23,000",150,+0.66%,"5,000","70,463","306,359",9.40,"699,388",-7.16,-117.79,
53,KODEX CD금리액티브(합성),"1,026,520",535,+0.05%,0,"69,194","6,741",0.01,"292,946",N/A,N/A,
54,DB손해보험,"97,700",100,-0.10%,500,"69,172","70,800",46.95,"191,934",4.54,16.45,
55,현대글로비스,"184,100","4,700",-2.49%,500,"69,038","37,500",48.50,"95,175",5.89,18.78,
56,한화에어로스페이스,"134,800","1,800",+1.35%,"5,000","68,249","50,630",31.84,"413,685",9.71,6.98,
57,SK바이오팜,"85,400",200,+0.23%,500,"66,880","78,313",8.33,"167,165",-80.11,-36.66,
58,KODEX 200,"35,490",40,+0.11%,0,"65,763","185,300",21.09,"4,298,172",N/A,N/A,
59,삼성중공업,"7,330",90,+1.24%,"1,000","64,504","880,000",20.62,"4,509,419",-31.46,-16.08,
60,카카오페이,"47,750",650,+1.38%,500,"64,112","134,265",40.13,"239,305",142.54,3.08,
61,한국타이어앤테크놀로지,"51,600",100,-0.19%,500,"63,920","123,875",40.45,"333,068",11.14,8.14,
62,롯데케미칼,"134,700","2,700",-1.97%,"5,000","57,618","42,775",26.02,"126,629",-190.79,0.43,
63,HD현대,"71,600",0,0.00%,"1,000","56,559","78,993",16.06,"257,816",12.83,20.43,
64,맥쿼리인프라,"12,580",30,+0.24%,0,"54,821","435,781",13.52,"402,115",N/A,N/A,
65,한화솔루션,"31,850",250,+0.79%,"5,000","54,748","171,893",23.51,"814,618",505.56,4.21,
66,넷마블,"62,900","1,900",+3.11%,100,"54,065","85,954",23.77,"220,283",-10.89,-14.56,
67,현대차2우B,"149,000",600,-0.40%,"5,000","53,820","36,121",61.16,"444,514",3.58,N/A,
68,미래에셋증권,"8,650",10,-0.12%,"5,000","52,360","605,316",13.50,"1,281,123",12.30,6.17,
69,코스모신소재,"159,900","7,100",+4.65%,"1,000","51,985","32,511",13.45,"396,415",258.32,12.13,
70,엘앤에프,"141,300","4,100",+2.99%,500,"51,218","36,248",20.25,"488,372",38.18,28.26,
71,한진칼,"76,500","2,900",+3.94%,"2,500","51,073","66,762",19.80,"213,786",20.36,33.64,
72,TIGER KOFR금리액티브(합성),"104,340",50,+0.05%,0,"50,846","48,731",0.00,"24,203",N/A,N/A,
73,SK바이오사이언스,"64,900",100,+0.15%,500,"49,861","76,828",6.18,"76,304",107.81,N/A,
74,유한양행,"61,200",400,-0.65%,"1,000","49,088","80,209",19.85,"382,504",56.51,4.86,
75,금양,"83,900","3,000",+3.71%,500,"48,704","58,050",8.99,"406,362",-85.96,-24.34,
76,현대제철,"36,350",650,-1.76%,"5,000","48,508","133,446",26.33,"521,099",12.76,5.56,
77,두산로보틱스,"74,600","1,100",+1.50%,500,"48,356","64,820",1.30,"1,744,292",-288.03,N/A,
78,GS,"52,000",200,-0.38%,"5,000","48,316","92,915",24.41,"189,753",3.57,18.86,
79,LG생활건강,"308,500","7,500",-2.37%,"5,000","48,182","15,618",29.15,"112,999",35.96,4.41,
80,한국항공우주,"49,100",200,+0.41%,"5,000","47,860","97,475",28.20,"433,802",66.35,8.78,
81,SK아이이테크놀로지,"67,000",0,0.00%,"1,000","47,769","71,298",10.55,"253,338",263.78,-1.35,
82,LG이노텍,"199,900",600,-0.30%,"5,000","47,311","23,667",21.37,"113,127",11.31,25.85,
